NLR clade,gene_short_na
CNL-5,2
CNL-5,Cc04g08600
CNL-5,Cc04g08610
CNL-5,R2
CNL-5,RPP13
CNL-5,Solyc04g009110
CNL-5,Solyc04g009120
CNL-5,Solyc04g009130
CNL-5,Solyc04g009150
CNL-5,Solyc04g009240
CNL-5,Solyc04g009250
CNL-5,Solyc04g009290
CNL-5,Solyc04g009660
CNL-5,Solyc04g009690
CNL-5,Solyc04g026110
CNL-5,Solyc07g039440
CNL-6,Cc00g11560
CNL-6,Cc00g25750
CNL-6,Cc00g27700
CNL-6,Cc02g28000
CNL-6,Cc06g17030
CNL-6,Cc08g04110
CNL-6,Cc08g04140
CNL-6,Cc08g04160
CNL-6,Cc08g04220
CNL-6,Cc08g04230
CNL-6,Cc08g04250
CNL-6,Solyc01g106410
CNL-6,Solyc04g039990
CNL-6,Solyc08g075630
CNL-6,Solyc08g075640
CNL-6,Solyc08g075980
CNL-6,Solyc08g076000
CNL-8,Cc00g00660
CNL-8,Cc00g05650
CNL-8,Cc00g15890
CNL-8,Cc00g16010
CNL-8,Cc00g16760
CNL-8,Cc00g22820
CNL-8,Cc00g24910
CNL-8,Cc00g27120
CNL-8,Cc00g29840
CNL-8,Cc00g31220
CNL-8,Cc02g29750
CNL-8,Cc02g29870
CNL-8,Cc02g29890
CNL-8,Cc02g29910
CNL-8,Cc02g29930
CNL-8,Cc02g29950
CNL-8,Cc02g29990
CNL-8,Cc02g30000
CNL-8,Cc02g30020
CNL-8,Cc04g14730
CNL-8,Cc04g14750
CNL-8,Cc09g09270
CNL-8,R3a
CNL-8,Solyc03g078300
CNL-8,Solyc08g007630
CNL-8,Solyc11g065780
CNL-8,Solyc11g069620
CNL-8,Solyc11g069925
CNL-8,Solyc11g071995
CNL-9,Hero
CNL-9,Solyc04g008120
CNL-9,Solyc04g008130
CNL-9,Solyc04g008140
CNL-9,Solyc04g008160
CNL-9,Solyc04g008180
CNL-9,Solyc04g008200
CNL-9,Solyc04g051210
CNL-9,Solyc06g065000
CNL-ND-10,Cc00g07220
CNL-ND-10,Cc00g07250
CNL-ND-10,Cc00g07270
CNL-ND-10,Cc00g07290
CNL-ND-10,Cc00g08120
CNL-ND-10,Cc00g08130
CNL-ND-10,Cc00g08820
CNL-ND-10,Cc00g12420
CNL-ND-10,Cc00g14490
CNL-ND-10,Cc00g15620
CNL-ND-10,Cc00g16870
CNL-ND-10,Cc00g20890
CNL-ND-10,Cc00g23210
CNL-ND-10,Cc00g23550
CNL-ND-10,Cc00g23800
CNL-ND-10,Cc00g25120
CNL-ND-10,Cc00g27630
CNL-ND-10,Cc00g31250
CNL-ND-10,Cc01g05660
CNL-ND-10,Cc04g01220
CNL-ND-10,Cc05g00910
CNL-ND-10,Cc05g00920
CNL-ND-10,Cc05g00960
CNL-ND-10,Cc05g00990
CNL-ND-10,Cc05g01020
CNL-ND-10,Cc05g01270
CNL-ND-10,Cc05g03570
CNL-ND-10,Solyc09g005290
CNL-ND-11,Solyc02g070730
CNL-ND-11,Solyc12g005970
CNL-ND-2,Solyc11g069020
